date,SP500,VIX,TNX,SP500_return,VIX_return,TNX_return,sentiment_mean,sentiment_std,headline_count,pos_prob_mean,neg_prob_mean,neu_prob_mean,pct_positive,pct_negative
2017-12-21,2684.570068359375,2.4809999465942383,9.619999885559082,0.19856558213586784,-0.6407702266466031,-1.0288104806842169,0.5,0.5773502691896257,4.0,0.4725864,0.062453184,0.46496046,50.0,0.0
2017-12-22,2683.340087890625,2.484999895095825,9.899999618530273,-0.04581666477052604,0.16122324013259082,2.9106001694605865,-0.3333333333333333,0.5773502691896258,3.0,0.10634765,0.34564212,0.54801023,0.0,33.33333333333333
2017-12-26,2680.5,2.4670000076293945,10.25,-0.10584151831672939,-0.7243415785229468,3.5353575248085356,0.3333333333333333,0.5773502691896258,3.0,0.3408195,0.058830965,0.6003495,33.33333333333333,0.0
2017-12-27,2682.6201171875,2.4140000343322754,10.470000267028809,0.07909409391904099,-2.148357240908494,2.1463440685737467,1.0,0.0,1.0,0.7604646,0.07777304,0.16176233,100.0,0.0
2017-12-28,2687.5400390625,2.431999921798706,10.180000305175781,0.18339987251561052,0.7456457005150519,-2.769818094143406,-0.16666666666666666,0.752772652709081,6.0,0.21474321,0.3627119,0.42254493,16.666666666666664,33.33333333333333
2017-12-29,2673.610107421875,2.4049999713897705,11.039999961853027,-0.5183153157965359,-1.1101953650132668,8.447933505856575,0.0,1.0,3.0,0.47296262,0.23093235,0.29610503,33.33333333333333,33.33333333333333
2018-01-02,2695.81005859375,2.4649999141693115,9.770000457763672,0.8303361477520088,2.494800145251941,-11.503618736210486,0.4444444444444444,0.7264831572567789,9.0,0.49771935,0.17797196,0.32430866,55.55555555555556,11.11111111111111
2018-01-03,2713.06005859375,2.447000026702881,9.149999618530273,0.6398818768781567,-0.7302185839019204,-6.345965303826762,-0.16666666666666666,0.752772652709081,6.0,0.38073793,0.1732388,0.44602323,16.666666666666664,33.33333333333333
2018-01-04,2723.989990234375,2.453000068664551,9.220000267028809,0.40286360805039667,0.2451999140251182,0.7650344417148736,0.0,0.0,2.0,0.039925054,0.16430503,0.79576993,0.0,0.0
2018-01-05,2743.14990234375,2.4760000705718994,9.220000267028809,0.7033767443369587,0.9376274465361156,0.0,0.0,1.4142135623730951,2.0,0.5476138,0.4014401,0.05094605,50.0,50.0
2018-01-08,2747.7099609375,2.4800000190734863,9.520000457763672,0.16623439316436617,0.16154880402177163,3.253798069916325,0.16666666666666666,0.408248290463863,6.0,0.20082895,0.07163676,0.7275343,16.666666666666664,0.0
2018-01-09,2751.2900390625,2.5460000038146973,10.079999923706055,0.13029315960912946,2.661289686839119,5.882347048478298,0.6666666666666666,0.5773502691896258,3.0,0.5619002,0.033642214,0.4044576,66.66666666666666,0.0
2018-01-10,2748.22998046875,2.549999952316284,9.819999694824219,-0.11122268282528491,0.15710716793377877,-2.5793673695410413,0.5,0.7071067811865476,2.0,0.2451348,0.074641645,0.6802235,50.0,0.0
2018-01-11,2767.56005859375,2.5309998989105225,9.880000114440918,0.7033646478779465,-0.7451001474922836,0.6110022554106864,0.5,0.7071067811865476,0.0,0.2451348,0.074641645,0.6802235,50.0,0.0
2018-01-12,2786.239990234375,2.552000045776367,10.15999984741211,0.6749602987881076,0.8297174122718909,2.83400536161873,0.0,0.0,3.0,0.035187315,0.19300614,0.77180654,0.0,0.0
2018-01-16,2776.419921875,2.5439999103546143,11.65999984741211,-0.3524487622672101,-0.31348492469635003,14.763779749288775,0.25,0.5,4.0,0.2899518,0.03395381,0.67609435,25.0,0.0
2018-01-17,2802.56005859375,2.578000068664551,11.90999984741211,0.9415051560751175,1.336484257391235,2.1440823608199766,0.3333333333333333,0.5773502691896258,3.0,0.30808428,0.039668683,0.652247,33.33333333333333,0.0
2018-01-18,2798.030029296875,2.6110000610351562,12.220000267028809,-0.16163897301626484,1.280061733578619,2.6028583004898964,0.5,0.7071067811865476,2.0,0.38917708,0.040184952,0.570638,50.0,0.0
2018-01-19,2810.300048828125,2.63700008392334,11.270000457763672,0.43852351128388367,0.9957879080966237,-7.774139022143589,0.0,0.0,3.0,0.04696652,0.03560578,0.9174277,0.0,0.0
2018-01-22,2832.969970703125,2.6649999618530273,11.029999732971191,0.8066726499347698,1.0618080029800137,-2.129553815831031,-0.16666666666666666,0.408248290463863,6.0,0.15491213,0.20072645,0.64436144,0.0,16.666666666666664
2018-01-23,2839.1298828125,2.624000072479248,11.100000381469727,0.21743654797181655,-1.5384574094054138,0.6346387143536081,0.25,0.5,4.0,0.31187904,0.034056876,0.65406406,25.0,0.0
2018-01-24,2837.5400390625,2.6540000438690186,11.470000267028809,-0.05599757022828333,1.1432915610183558,3.333332187778648,0.0,0.0,2.0,0.07103718,0.02707944,0.90188336,0.0,0.0
2018-01-25,2839.25,2.621000051498413,11.579999923706055,0.060262090189389106,-1.2434058713314045,0.959020524118448,0.0,0.0,1.0,0.079391,0.015536193,0.90507287,0.0,0.0
2018-01-26,2872.8701171875,2.6619999408721924,11.079999923706055,1.1841196508761032,1.5642841880273872,-4.317789320329979,0.0,0.8944271909999159,6.0,0.39081442,0.23671752,0.37246808,33.33333333333333,33.33333333333333
2018-01-29,2853.530029296875,2.6989998817443848,13.84000015258789,-0.6731974332887192,1.3899301913609108,24.90974952966125,0.0,0.0,2.0,0.04025341,0.030443177,0.9293034,0.0,0.0
2018-01-30,2822.429931640625,2.7260000705718994,14.789999961853027,-1.0898815620283941,1.000377547629383,6.864160395890595,-0.5714285714285714,0.5345224838248488,7.0,0.08235567,0.43570057,0.48194376,0.0,57.14285714285714
2018-01-31,2823.81005859375,2.7200000286102295,13.539999961853027,0.048898537308339485,-0.22010424821490293,-8.451656546477693,0.0,0.0,3.0,0.073221646,0.085163616,0.8416147,0.0,0.0
2018-02-01,2821.97998046875,2.7730000019073486,13.470000267028809,-0.06480882520516484,1.9485284095456246,-0.5169844536294876,0.0,0.0,5.0,0.09842802,0.0582309,0.84334105,0.0,0.0
2018-02-02,2762.1298828125,2.8540000915527344,17.309999465942383,-2.120854792396809,2.921027392343012,28.50778858789582,-0.2857142857142857,0.7559289460184544,7.0,0.16775505,0.39235345,0.43989152,14.285714285714285,42.857142857142854
2018-02-05,2648.93994140625,2.7939999103546143,37.31999969482422,-4.097922480422822,-2.10231882527645,115.59792516603906,-1.0,0.0,4.0,0.020585632,0.82996607,0.14944832,0.0,100.0
2018-02-06,2695.139892578125,2.7679998874664307,29.979999542236328,1.7440920592313836,-0.9305663465423497,-19.667739047719902,0.0,0.6324555320336759,6.0,0.19991426,0.3385718,0.461514,16.666666666666664,16.666666666666664
2018-02-07,2681.659912109375,2.8440001010894775,27.729999542236328,-0.5001588416939429,2.7456725691058503,-7.505003450150694,-0.5,0.5773502691896257,4.0,0.07891539,0.47050884,0.45057577,0.0,50.0
2018-02-08,2581.0,2.8510000705718994,33.459999084472656,-3.753641975808808,0.24613112635756274,20.663539981343337,-0.5,0.5773502691896257,4.0,0.03713011,0.39685005,0.56601983,0.0,50.0
2018-02-09,2619.550048828125,2.8289999961853027,29.059999465942383,1.4936090208494734,-0.7716616570333401,-13.15002910616373,-0.3333333333333333,0.5773502691896258,3.0,0.03830672,0.36403346,0.5976598,0.0,33.33333333333333
2018-02-12,2656.0,2.8570001125335693,25.610000610351562,1.3914584754042503,0.9897531419590821,-11.87198526838975,0.0,0.6324555320336759,6.0,0.1550677,0.22264922,0.6222831,16.666666666666664,16.666666666666664
2018-02-13,2662.93994140625,2.8399999141693115,24.969999313354492,0.26129297463290957,-0.5950366711460209,-2.4990288236790614,-0.3333333333333333,0.5773502691896258,3.0,0.041908246,0.26906756,0.6890242,0.0,33.33333333333333
2018-02-14,2698.6298828125,2.9130001068115234,19.260000228881836,1.3402458257245842,2.5704293960714386,-22.867437891433283,1.0,0.0,1.0,0.8583255,0.030730465,0.11094406,100.0,0.0
